256;1769.648077;1806.606154;1713.895385
512;7189.931923;7278.098462;7095.156923
768;16256.844615;16416.532308;16047.981538
1024;29071.924615;29273.683077;28749.821538
1280;45636.675769;46207.326154;45276.009231
1536;65832.571923;66068.981538;65649.310769
1792;89864.780000;90301.784615;89502.464615
2048;117817.013846;118401.901538;117323.104615
2304;149159.266154;149729.975385;148344.532308
2560;184781.196923;185648.036923;184234.904615
2816;223884.663846;224710.526154;223024.541538
3072;266700.962308;268297.193846;265110.775385
3328;313200.048077;315358.587692;311804.769231
3584;363757.599231;365122.969231;361979.726154
3840;417959.812308;419595.169231;416389.061538
4096;475454.746154;477866.132308;472443.529231
4352;536924.870385;539328.070769;534415.541538
4608;602749.348077;605598.003077;600406.341538
4864;671440.495385;674527.827692;669911.676923
5120;743516.900385;746578.876923;741331.763077
5376;820397.113846;822996.166154;818046.243077
5632;900057.796923;902725.590769;895673.055385
5888;985406.835769;987114.670769;981604.246154
